text_id,section_id,paragraph_id,text,formatted,page_number
1,1,1,Daniel Lakens Lisa DeBruine Jakub Werner,,1
2,1,2,22/02/2026,,1
3,2,3,This paper demonstrates some good and poor practices for use with the {metacheck} R package.,,1
4,2,3,All data are simulated.,,1
5,2,3,"The paper shows examples of (1) open and closed OSF links; (2a) citation of retracted papers, (2b) citations without a doi, (2c) citations with Pubpeer comments, (2d) citations in the FLoRA replication database, and (2e) missing/mismatched/incorrect citations and references; (3a) R files with code on GitHub that do not load libraries in one location, (3b) load files that are not shared in the repository, (3c) lack comments, and (3d) have absolute file paths; (4) imprecise reporting of non-significant p-values; (5) tests with and without effect sizes; (6) use of \"marginally significant\" to describe non-significant findings; (7) a power analysis reporting some of the essential attributes; and (8) retrieving information from preregistrations.",,1
6,3,4,"Although intentional dishonesty might be a successful way to boost creativity (Gino and Wiltermuth 2014), it is safe to say most mistakes researchers make are unintentional.",,1
7,3,4,"From a human factors perspective, human error is a symptom of a poor design (Smithy, 2020).",,1
8,3,4,"Automation can be used to check for errors in scientific manuscripts, and inform authors about possible corrections.",,1
9,3,4,In this study we examine the usefulness of metacheck to improve best practices.,,1
10,4,5,In this study 1 we examine whether automated checks reduce the amount of errors that researchers make in scientific manuscripts.,,1
11,4,5,This study was preregistered at https://osf.io/48ncu and on AsPredicted at https://aspredicted.org/by8i8v.pdf.,,1
12,5,6,"We randomly assigned 50 scientists to a condition where their manuscript was automatically checked for errors, and 50 scientists to a control condition with a checklist.",,1
13,5,6,Scientists had the opportunity to make changes to their manuscript based on the feedback of the tool.,,1
14,5,6,"We subsequently coded all manuscripts for mistakes, and counted the total number of mistakes.",,1
15,5,6,"We also measured the expertise of researchers (in years) to explore whether the automated tool would be more useful, the less research experience researchers had.",,1
16,5,6,We also asked researchers to rate how useful they found the checklist or app on a scale from 1 (not at all) to 7 (extremely useful).,,2
17,6,7,Data and analysis code is available on GitHub from https://github.com/Lakens/to_err_is_human and from https://researchbox.org/4377. ,,2
18,6,7,Data is also available from https://osf.io/5tbm9 and code is also available from https://osf.io/629bx.,,2
19,7,8,We conducted a sensitivity power analysis 2 to determine that a Cohen's d of 0.50 is the smallest effect size that we could detect with N=50 participants in each group and 80% power.,,2
20,8,9,"We simulated the data using Faux (DeBruine 2025) (Table 1, Figure 1).",,2
21,8,10,On average researchers in the experimental (app) condition made fewer mistakes (M=9.12) than researchers in the control (checklist) condition (M=10.9) t(97.7)=2.9 p=0.005 d=0.59.,,3
22,8,11,"On average researchers in the experimental condition found the app marginally significantly more useful (M=5.06) than researchers in the control condition found the checklist (M=4.5), t(97.2)=-1.96, p=0.152.",,3
23,8,12,"There was no effect of experience on the reduction in errors when using the tool (p > .05), as the correlation was non-significant (Figure 2).",,3
24,9,13,"Since our data are simulated for demonstration purposes, of course they confirm our hypotheses.",,3
25,9,13,"It seems automated tools can help prevent errors by providing researchers with feedback about potential mistakes, and researchers feel the app is useful.",,3
26,9,13,We conclude the use of automated checks has potential to reduce the number of mistakes in scientific manuscripts.,,3
27,10,14,The authors declare a conflict of interest.,,4
28,10,14,We really want to see this project succeed and help researchers make their papers better.,,4
29,11,15,"DeBruine, Lisa. 2025. Faux: Simulation for Factorial Designs. Zenodo. https://doi.org/10.5281/zenodo.2669586.",,4
30,11,16,"Eagly, Alice H., and Wendy Wood. 1999. \"The Origins of Sex Differences in Human Behavior: Evolved Dispositions Versus Social Roles.\" American Psychologist 54 (6): 408Đ23. https://doi.org/10.1037/0003-066x.54.6.408.",,4
31,11,17,"Gino, Francesca, and Scott S. Wiltermuth. 2014. \"Evil Genius? How Dishonesty Can Lead to Greater Creativity.\" Psychological Science 25 (4): 973â€“81. https://doi.org/10.1177/0956797614520714.",,4
32,11,18,"Lakens, Dani‘l. 2018. \"Equivalence Testing for Psychological Research.\" Advances in Methods and Practices in Psychological Science 1: 259Đ70.",,4
33,11,19,"Smith, F. 2021. \"Human Error Is a Symptom of a Poor Design.\" Journal of Journals. https://doi.org/10.0000/0123456789.",,4
34,12,20,The average number of mistakes and usefulness score for the control and experimental conditions.,,3
35,13,21,The simulated data.,,2
36,14,22,The effect of experience on the reduction in errors.,,3
37,15,23,"1Remember, this is a demo and none of this is real.",,1
38,16,24,2The code we used for this analysis is as follows.,,2
39,16,25,"pwr::pwr.t.test(n = 50, power = 0.8, alternative = \"greater\")",,2